Username,FollowAge,IsFollower,BatName,BatGender,BatColor,0
Duchess118,76790,0,Fuzz,Male,Brown,0
bikosalien,76425,0,Basil,Male,Black,0
jaygoddard99,75902,0,Morning,Female,Black,0
theangrybiird,74391,0,Lady,Female,Brown,0
ii_itz_swag_ii,71622,0,Iris,Female,Red,0
wickedsnorlax,71316,0,Angel,Male,Black,0
DianiteOurLordAndSaviour,71071,0,Mothra,Male,Black,0
footylover09,70817,0,Dot,Female,Brown,0
KomaKrazyXD,70230,0,Haze,Female,Black,0
Trozas,68733,0,Booboo,Male,Black,0
SurroundedByTrees,12599,0,Rascal,Male,Brown,0
Lott__,79200,0,Mittens,Female,Black,0
MagicalPal,77334,0,Haze,Female,Black,0
kingfluffybeard,73989,0,Harmony,Female,Brown,0
thatonescenechick,73793,0,Siren,Female,Black,0
spiderprince7531,73673,0,Basil,Male,Red,0
lNukNorWay,73422,0,Vulkan,Male,Black,0
Buenxxo,72853,0,Scarlett,Female,Brown,0
kevbev67,72431,0,Dawnstar,Female,Black,0
H1ghFor3ver,71912,0,Tiberius,Male,Black,0
queenloxy,68682,0,Nyx,Male,Brown,0
chimeric13,84291,0,Screech,Male,Black,0
luizfelipekassino,13047,0,Skye,Female,Black,0
dogekewlked,76886,0,Blues,Male,Brown,0
egyptian_slave,76808,0,Fuzz,Male,Black,0
atticus_mjapan,76690,0,Ruth,Female,Red,0
epiccookieeater1,76575,0,Dimitri,Male,Black,0
popyface20,76492,0,Sona,Female,Brown,0
kittydani,76354,0,Brutus,Male,Black,0
katherine0987,76180,0,Shrike,Male,Black,0
thechamp27ish,76030,0,Blade,Male,Brown,0
darkness3678739,75990,0,Trixy,Female,Black,0
zakando,75939,0,Lockjaw,Male,Black,0
zuismp,75938,0,Rascal,Male,Brown,0
klee972,75815,0,Mirage,Female,Red,0
chilli_bandit,75720,0,Sonar,Male,Black,0
yatoreturns,75584,0,Shrike,Male,Black,0
aragacraft123,75457,0,Nugget,Female,Brown,0
wyattmohawk,75320,0,Haze,Female,Black,0
den_iskold_bamse,75211,0,Nugget,Female,Black,0
hellioss89,75097,0,Shrike,Male,Brown,0
theonlineworld,74995,0,Raine,Female,Black,0
spanishbloodypvp,74981,0,Char,Male,Black,0
xTheAssassin78x,74828,0,Giggles,Female,Brown,0
hayati_07,74814,0,Shadow,Male,Black,0
3jlanlol,74700,0,Spectre,Male,Red,0
kn4ttteen,74610,0,Angel,Male,Black,0
hatelights,74595,0,Morning,Female,Brown,0
attackonalexis,74476,0,Vulkan,Male,Black,0
foxwolfboris,74271,0,Orion,Male,Black,0
