Username,FollowLength,IsFollower,BatName,BatGender,BatColor,0
bigwaven31,31207591,1,Dot,female,Black,0
mightydinosauri73,31207590,1,Sona,female,Brown,0
lightningspartane27,31207590,1,Drake,male,Black,0
infinitycrashi33,31207589,1,Skylar,female,Black,0
oo_helmetl64,31207588,1,Dawnstar,female,Brown,0
hyperghoste97,31207587,1,Shrike,male,Black,0
eliteblazen17,31207587,1,Comet,male,Red,0
coolhelmett34,31207586,1,Draculon,male,Black,0
frostycyborgk59,31207585,1,Butch,male,Brown,0
externaldumpl73,31207585,1,Sage,female,Black,0
skinnybulletp71,31207584,1,Drake,male,Black,0
mrdesignu45,31207583,1,Comet,male,Brown,0
externaldumpm14,31207582,1,Echo,female,Black,0
lighthunterx22,31207581,1,Bruce,male,Black,0
uglygunf72,31207581,1,Dawnstar,female,Brown,0
forcedarknessf22,31207580,1,Cerulean,female,Black,0
infinitydynamica94,31207579,1,Lucy,female,Red,0
arkloserb96,31207579,1,Shade,female,Black,0
ragingcavet34,31207578,1,Flaps,male,Brown,0
goodshadows48,31207577,1,Ash,male,Black,0
teamhunterp63,31207577,1,Cole,male,Black,0
hardcorebomberl50,31207576,1,Mirage,female,Brown,0
bravocyborge06,31207575,1,Fuzz,male,Black,0
beastlyzeuse70,31207575,1,Indigo,female,Black,0
fallingdarknessq46,31207574,1,Orion,male,Brown,0
oo_reaperb53,31207573,1,Grey,male,Black,0
johnflamef19,31207572,1,Siren,female,Red,0
flamingsoldierc24,31207572,1,Abby,female,Black,0
risinglosero08,31207571,1,Star,female,Brown,0
externalbulleth56,31207570,1,Nugget,female,Black,0
speedingknightn90,31207570,1,Dawnstar,female,Black,0
rebelshadowu93,31207569,1,Dawnstar,female,Brown,0
bigpiloth49,31207568,1,Nightmare,male,Black,0
ascendingpolicew68,31207567,1,Velvet,female,Black,0
chickendestinyd23,31207566,1,Comet,male,Brown,0
arkloserw14,31207566,1,Orion,male,Red,0
muscletreew76,31207565,1,Draculon,male,Black,0
bigflameu53,31207564,1,Echo,female,Black,0
lifeshadowg04,31207563,1,Equinox,female,Brown,0
betawarriorm00,31207563,1,Nyx,male,Black,0
ootranscendantx47,31207562,1,Tiberius,male,Black,0
badshieldu16,31207561,1,Aura,female,Brown,0
badshieldy30,31207560,1,Velvet,female,Black,0
bigchimpa24,31207560,1,Raine,female,Black,0
hotblazew12,31207559,1,Moonlight,female,Brown,0
supertempestg64,31207558,1,Abby,female,Black,0
flowapec49,31207558,1,Draculon,male,Red,0
trinitysupremef51,31207557,1,Nugget,female,Black,0
lightblackholef76,31207556,1,Illumina,female,Brown,0
flamingmilitarye13,31207556,1,Raine,female,Black,0
dumbdumpg92,31207555,1,Bandetta,female,Black,0
shootingghostx40,31207554,1,Harmony,female,Brown,0
frostysquadp63,31207554,1,Vulkan,male,Black,0
ironkillerb18,31207553,1,Cookie,female,Black,0
charliecreationh58,31207552,1,Moonlight,female,Brown,0
deltaservantf79,31207552,1,Dot,female,Red,0
laserservantm13,31207551,1,Char,male,Black,0
vibratingdeathj49,31207550,1,Ivy,female,Black,0
fragraptoro52,31207550,1,Dawnstar,female,Brown,0
clanaliasv72,31207549,1,Comet,male,Black,0
thepilots03,31207548,1,Bruce,male,Black,0
intelicev58,31207548,1,Illumina,female,Brown,0
flarearmore28,31207547,1,Mirage,female,Black,0
flaretempestg98,31207546,1,Echo,female,Black,0
kingmagen22,31207546,1,Vamp,male,Brown,0
deltadesigni59,31207545,1,Ripmaw,male,Red,0
ragingserpeante64,31207544,1,Aura,female,Black,0
fadingpilotu43,31207544,1,Dimitri,male,Black,0
largenavyi85,31207543,1,Bruce,male,Brown,0
ascendingdragons68,31207542,1,Drake,male,Black,0
supertempesth99,31207542,1,Abby,female,Black,0
amazingforceg78,31207541,1,Tiberius,male,Brown,0
badaliass32,31207540,1,Morning,female,Black,0
deltabuilderc42,31207539,1,Equina,female,Black,0
hotelnavya51,31207539,1,Lucifer,male,Brown,0
arkcyborgf71,31207538,1,Guano,male,Black,0
radiofuturei47,31207537,1,Draculon,male,Red,0
sierrasoulq85,31207536,1,Giggles,female,Black,0
flowmanc83,31207536,1,Violet,female,Brown,0
alphalimits73,31207535,1,Indigo,female,Black,0
nobelmountaink92,31207534,1,Haze,female,Black,0
foxtrotbeingv12,31207534,1,Char,male,Brown,0
nlreaperj67,31207533,1,Screech,male,Black,0
foxtrotserpeante15,31207532,1,Lockjaw,male,Black,0
flamingcyborgz16,31207532,1,Shadow,male,Brown,0
goodbattlek82,31207531,1,Sage,female,Black,0
lifemasteri81,31207530,1,Iris,female,Red,0
omnimonsterm74,31207529,1,Sabath,male,Black,0
boomingcreationl50,31207529,1,Dimitri,male,Brown,0
fadingarmorf56,31207528,1,Skylar,female,Black,0
cashtigerx94,31207527,1,Raine,female,Black,0
coldwarriori11,31207527,1,Dawnstar,female,Brown,0
beastlymonkeyk68,31207526,1,Nightmare,male,Black,0
coldmazex42,31207525,1,Nightmare,male,Black,0
fortplayerh07,31207525,1,Giggles,female,Brown,0
fadinghelmets07,31207524,1,Impaler,male,Red,0
hellsquadi52,31207523,1,Rhyme,female,Black,0
invisiblepwnere32,31207523,1,Trixy,female,Black,0
angelicek70,31207522,1,Tiberius,male,Brown,0
flaremazeb10,31207521,1,Archangel,male,Black,0
blazingghostg64,31207520,1,Midnight,male,Black,0
fazingmilitaryq20,31207520,1,Lady,female,Brown,0
hotelgiantp08,31207519,1,Darth,male,Black,0
fadingpwnerx69,31207518,1,Bandetta,female,Black,0
lifealiasu68,31207518,1,Char,male,Brown,0
alphadumpu55,31207517,1,Archangel,male,Black,0
killerarmora55,31207516,1,Guano,male,Red,0
pureservante90,31207516,1,Baxter,male,Black,0
AirForceKitty,31156477,1,Nibbles,female,Brown,0
officerknickcurrs,31146957,1,Guano,male,Black,0
Miniladd212,31137608,1,Echo,female,Black,0
hunter0987653211567,31131069,1,Flaps,male,Brown,0
shadowslacher1000,31131025,1,Morticia,female,Black,0
Atlas,1310656,0,Lucy,female,Black,0
khalid1349,31126441,1,Dot,female,Brown,0
aluvni_grow,31119966,1,Trixy,female,Red,0
pubgnoob2003,31108965,1,Cookie,female,Black,0
Jake_Loves_Cake,31099514,1,Ripmaw,male,Black,0
andrewsotiriou10,31055687,1,Rhyme,female,Brown,0
qwascolol,24869,0,Cookie,female,Black,0
ttvpositivepete,1225889,0,Nibbles,female,Black,0
usernaneisalredaytaken,10588365,0,Moonlight,female,Brown,0
qwascolol2,1236283,0,Equina,female,Black,0
HrvstrOfEnergy,30992441,1,Ruth,female,Black,0
bot081398,30968675,1,Drake,male,Brown,0
geneatalz,30963892,1,Scarlett,female,Red,0
gears2019,30953947,1,Char,male,Black,0
calamity_max_stage,30953084,1,Dawnstar,female,Black,0
mbbro12,30951633,1,Nugget,female,Brown,0
spokjelse,30947132,1,Fuzz,male,Black,0
AHorseNamedRoncinante,1032465,0,Indigo,female,Black,0
Wurzel7211,15346600,0,Drake,male,Brown,0
Yankeeace50,30718781,1,Shrike,male,Black,0
TexCubSF,30718710,1,Indigo,female,Black,0
TealOldMan,30718696,1,Vladimir,male,Brown,0
Chicken__Pizza,3335,0,Sade,female,Red,0
thestormbro,32,0,Lucy,female,Black,0
aaronjpx,30707156,1,Violet,female,Black,0
chubbygirlyy,30706474,1,Sade,female,Brown,0
BarneyOfTheRubbble,1336,0,Shadow,male,Black,0
jarngeir,886415,0,Twilight,female,Black,0
nubodys,30704720,1,Lucifer,male,Brown,0
Sir_Soul,148,0,Booboo,male,Black,0
lil_bro_gamers,30701100,1,Ash,male,Black,0
kaspatik,30699898,1,Lockjaw,male,Brown,0
